epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,12.027169338877174,8.279351385438833,0.547867472084935,1.8649296018028654,0.47027587890625,2.025358629779441e-09
2,820,10.282746418722853,6.646509032622157,0.5685520776130332,2.751226521356873,0.47027587890625,1.7930710806471815e-09
3,1230,9.236282367331862,6.269914577148259,0.5617792421746294,3.4640803528821804,0.47027587890625,1.7931368690732554e-09
4,1640,8.28369694670934,5.0563356894266684,0.5837451949478308,4.085969884501583,0.47027587890625,1.7931511249286698e-09
5,2050,7.590409944964123,4.730256825167247,0.5857587406187077,4.6492414084690825,0.47027587890625,1.7936500745106399e-09
6,2460,7.062810999179637,4.363242179902726,0.5777045579352005,5.170618934878717,0.47027587890625,1.7932437571678255e-09
7,2870,6.523090761882351,3.739169214881647,0.5842943437671609,5.660097758667823,0.47027587890625,1.793641791489497e-09
8,3280,6.000087924045919,3.341028064418446,0.5960095185795351,6.124222070526848,0.47027587890625,1.7935597337442949e-09
9,3690,5.735012394716855,2.9073588891320017,0.5965586673988651,6.56755589917412,0.47027587890625,1.7937850520293726e-09
10,4100,5.387945128936623,2.926060620188691,0.6058941973274757,6.993433800032892,0.47027587890625,1.7935697429205896e-09
