epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,10.72013570850323,5.517958513790929,0.5548233571297821,1.8649296018028654,0.47027587890625,2.025408375798719e-09
2,820,7.89292617939459,4.312940301114815,0.5727622185612301,2.751226521356873,0.47027587890625,1.7932579752484284e-09
3,1230,6.453137187443985,3.1979661550841314,0.57166392092257,3.4640803528821804,0.47027587890625,1.793475517259603e-09
4,1640,5.429461149718764,2.2705941504880487,0.5747757642321069,4.085969884501583,0.47027587890625,1.7936092918474946e-09
5,2050,4.8825837204538995,2.156350082908601,0.5870400878638111,4.6492414084690825,0.47027587890625,1.7942564895337649e-09
6,2460,4.351075553613052,1.9243691179225586,0.5804503020318507,5.170618934878717,0.47027587890625,1.7940463715121515e-09
7,2870,3.7653339371684504,1.570139041951609,0.6027823540179389,5.660097758667823,0.47027587890625,1.7948796299867582e-09
8,3280,3.3183190912333367,1.428032301250404,0.6236500091524804,6.124222070526848,0.47027587890625,1.7950236646616618e-09
9,3690,3.0758650315050713,1.7871999138335093,0.6349990847519678,6.56755589917412,0.47027587890625,1.7957159790373208e-09
10,4100,2.8403408443040283,2.5550663190601117,0.5881383855024712,6.993433800032892,0.47027587890625,1.7953857771297492e-09
