global_step,q_over_gamma_mean,q_over_gamma_p50,q_over_gamma_p90,q_over_gamma_p99
20,2.013094524639836,1.0,4.765936978401442,9.956596092782396
40,1.6119777145293233,1.0,3.3454387704523474,6.717757325228989
60,1.4398333163065158,1.0,2.722181354405015,5.369269307683078
80,1.3405232058106797,1.0,2.351351587511393,4.586340066244554
100,1.275292606138034,1.0,2.1004460393214686,4.069276838455006
120,1.2286520221356396,1.0,1.9139971385584436,3.685695280826925
140,1.1937974616933347,1.0,1.7710538221156942,3.393524844833944
160,1.1665307623240702,1.0,1.6553714251206966,3.1594045661146697
180,1.1449288540599087,1.0,1.560037787839975,2.97091299709488
200,1.1272487841580048,1.0,1.4793476073767426,2.810441562436004
220,1.1126362669973533,1.0,1.410178403678705,2.677716916347589
240,1.1004018442487011,1.0,1.3499872627183631,2.5581182446406627
260,1.0899382093904035,1.0,1.2971643315040642,2.4522344806617506
280,1.0809412013308055,1.0,1.2501998251461075,2.3605567397074396
300,1.0731662755425158,1.0,1.2080979180003244,2.277516782574671
320,1.0664301254264712,1.0,1.1702330956116687,2.203716225797812
340,1.060533908642675,1.0,1.1354376994177078,2.1367227986957005
360,1.0552413968001368,1.0,1.1035331463441864,2.074658074964949
380,1.0505963771581661,1.0,1.0747466916427588,2.0184588696755177
400,1.0464925810121681,1.0,1.0484662027465674,1.9678302957496887
420,1.0427544341179602,1.0,1.023175263033713,1.9181953566279244
440,1.0393840001971937,1.0,1.0,1.873231039913511
460,1.036412185366472,1.0,1.0,1.8323179418189297
480,1.0337286445195515,1.0,1.0,1.7942494541974467
500,1.0312906601291592,1.0,1.0,1.7574824084931615
520,1.0291159737776285,1.0,1.0,1.7235966372671412
540,1.0271002303338945,1.0,1.0,1.692790914849718
560,1.0252569522064932,1.0,1.0,1.6636789131515204
580,1.0235757974067246,1.0,1.0,1.6350724981369549
600,1.0220505160655795,1.0,1.0,1.6079202798853969
620,1.0206457300662835,1.0,1.0,1.5831543009880997
640,1.0193502310493185,1.0,1.0,1.5587412131405185
660,1.0181618809234025,1.0,1.0,1.536209926674323
680,1.0170545112261062,1.0,1.0,1.514943394435402
700,1.0160187111352614,1.0,1.0,1.4926311801370205
720,1.015075113537787,1.0,1.0,1.4732677300344221
740,1.0141963804485628,1.0,1.0,1.4539753105206425
760,1.0133791918839792,1.0,1.0,1.4360447527413578
780,1.012643899940957,1.0,1.0,1.4186530350457363
800,1.0119493964401958,1.0,1.0,1.4019979251618981
820,1.0113135159649091,1.0,1.0,1.3860153439774598
840,1.0107186200050138,1.0,1.0,1.3712243074337496
860,1.010148768046614,1.0,1.0,1.3562981730312158
880,1.0096346376464576,1.0,1.0,1.3431401176452102
900,1.0091455535080773,1.0,1.0,1.328923294371029
920,1.008686659770458,1.0,1.0,1.3159369061099842
940,1.008268162115399,1.0,1.0,1.3036256045021835
960,1.0078740523010792,1.0,1.0,1.2910525981624232
980,1.007511705795846,1.0,1.0,1.280093648858838
1000,1.0071672841799997,1.0,1.0,1.2693904594129903
1020,1.0068530789049155,1.0,1.0,1.2596039648353026
1040,1.006527144210931,1.0,1.0,1.2484555611536052
1060,1.0062362385660049,1.0,1.0,1.2375617094069953
1080,1.0059661569447658,1.0,1.0,1.2284881023560963
1100,1.005709775645193,1.0,1.0,1.218905261168857
1120,1.0054759762345993,1.0,1.0,1.210077940072552
1140,1.005246127862306,1.0,1.0,1.2015668460207962
1160,1.0050201943497652,1.0,1.0,1.1921663537843115
1180,1.0048178277080433,1.0,1.0,1.1839430058557812
1200,1.0046314484125414,1.0,1.0,1.1757267751969873
1220,1.0044431401574854,1.0,1.0,1.167868160697102
1240,1.004270603405779,1.0,1.0,1.1600522024461195
1260,1.0041076943605352,1.0,1.0,1.1528650271467702
1280,1.0039633259143461,1.0,1.0,1.1460213400482646
1300,1.003808037087497,1.0,1.0,1.1386577014604895
1320,1.0036635112388361,1.0,1.0,1.1318069444617624
1340,1.0035328151198273,1.0,1.0,1.125053223915984
1360,1.0034088600515518,1.0,1.0,1.1185706464781728
1380,1.003291689664697,1.0,1.0,1.1128282887777168
1400,1.0031794417870508,1.0,1.0,1.107088335080183
1420,1.0030702401203802,1.0,1.0,1.1012606885666785
1440,1.0029748826864417,1.0,1.0,1.0958333499881217
1460,1.0028726644557755,1.0,1.0,1.089630205323528
1480,1.002778359818593,1.0,1.0,1.0838713156620856
1500,1.002692751081065,1.0,1.0,1.0782758153027323
1520,1.002615373201508,1.0,1.0,1.074276667623053
1540,1.0025341246795916,1.0,1.0,1.0688871772875554
1560,1.0024560984691764,1.0,1.0,1.0634444317740117
1580,1.0023840855081971,1.0,1.0,1.0590817112188233
1600,1.0023148897139036,1.0,1.0,1.0551109615638172
1620,1.0022549226579718,1.0,1.0,1.0508145464882546
1640,1.0021905110609417,1.0,1.0,1.0462386512699595
1660,1.0021279039048425,1.0,1.0,1.0423826779515388
1680,1.002074418731242,1.0,1.0,1.0387826776536715
1700,1.0020232113218908,1.0,1.0,1.0345964085445303
1720,1.001970183214852,1.0,1.0,1.0301483873339148
1740,1.0019186657248937,1.0,1.0,1.0260888198369387
1760,1.001873801264892,1.0,1.0,1.0227552138530882
1780,1.001833477954076,1.0,1.0,1.020207823406359
1800,1.0017863939274827,1.0,1.0,1.0164218503897864
1820,1.0017455227017729,1.0,1.0,1.0123433706136595
1840,1.0017038050495826,1.0,1.0,1.0097889813209806
1860,1.0016629047504109,1.0,1.0,1.005664257055136
1880,1.001626174995733,1.0,1.0,1.0030506795525678
1900,1.0015910615853032,1.0,1.0,1.000305580589612
1920,1.001560987826943,1.0,1.0,1.0
1940,1.0015298018309835,1.0,1.0,1.0
