epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,10.493300692380581,5.947286651572225,0.5471352736591616,1.8649296018028654,0.47027587890625,
2,820,7.781416766904647,4.104424426522029,0.5789859051803039,2.751226521356873,0.47027587890625,
3,1230,6.328441193202763,2.977138624727213,0.5771554091158704,3.4640803528821804,0.47027587890625,
4,1640,5.396057358740851,2.5068194218090376,0.5778876075416438,4.085969884501583,0.47027587890625,
5,2050,4.706998454566253,1.9059839669370224,0.591799377631338,4.6492414084690825,0.47027587890625,
6,2460,4.087531450474326,2.044602208536404,0.5837451949478308,5.170618934878717,0.47027587890625,
7,2870,3.6906577525898276,1.4957461775211152,0.6058941973274757,5.660097758667823,0.47027587890625,
8,3280,3.2915481648511578,1.575719736662405,0.6185246201720667,6.124222070526848,0.47027587890625,
9,3690,3.0544684082789986,1.6346035628621665,0.6262127036426872,6.56755589917412,0.47027587890625,
10,4100,2.812051104034427,1.7466509876813334,0.6295075965586674,6.993433800032892,0.47027587890625,
