global_step,predictor_x_gap_mse
1,2.6773123903431257e-11
2,1.2414545340414393e-06
3,6.224672405427296e-07
4,4.1687318668039093e-07
5,3.146395563046697e-07
6,2.537712881913993e-07
7,2.1355131180566533e-07
8,1.8517741994103275e-07
9,1.641191150337406e-07
10,1.4797778898758e-07
11,1.3529839121011665e-07
12,1.2510850449618035e-07
13,1.1682830461367343e-07
14,1.0988540503989808e-07
15,1.0414441102108747e-07
16,9.92367439115265e-08
17,9.509600599409946e-08
18,9.153113621090016e-08
19,8.845289926561317e-08
20,8.57809248667373e-08
21,8.346780487095102e-08
22,8.144025468176561e-08
23,7.966431667355861e-08
24,7.80930828210915e-08
25,7.669172405420143e-08
26,7.546612022353379e-08
27,7.438741406415157e-08
28,7.34392424046257e-08
29,7.26046030540849e-08
30,7.181877189638555e-08
31,7.114134855492955e-08
32,7.055974919445414e-08
33,7.002188290486788e-08
34,6.957967989528244e-08
35,6.912250030947218e-08
36,6.871394254238534e-08
37,6.837653158596958e-08
38,6.80589911010477e-08
39,6.779571585449285e-08
40,6.753920208244888e-08
41,6.730195483977012e-08
42,6.712401331481703e-08
43,6.695516754025656e-08
44,6.67949316833341e-08
45,6.665203438344419e-08
46,6.651683692764187e-08
47,6.63924408533534e-08
48,6.629415962934842e-08
49,6.620507243942621e-08
50,6.612499015366487e-08
51,6.604126684096645e-08
52,6.597028922363965e-08
53,6.591496636138004e-08
54,6.586051879782369e-08
55,6.578979668892772e-08
56,6.575323476114438e-08
57,6.571419101527535e-08
58,6.567690169584196e-08
59,6.563867334018352e-08
60,6.560148699598725e-08
61,6.557972097322603e-08
62,6.555411526053865e-08
63,6.555904478360364e-08
64,6.550637637228815e-08
65,6.548277502807185e-08
66,6.547668908782622e-08
67,6.54566167166952e-08
68,6.54477377916869e-08
69,6.545284290921662e-08
70,6.543377273955463e-08
71,6.541677708178838e-08
72,6.543440010098573e-08
73,6.54168871293463e-08
74,6.539472952922525e-08
75,6.540616639713957e-08
76,6.540831022585967e-08
77,6.540143348729071e-08
78,6.537804949915894e-08
79,6.537159026810923e-08
80,6.53687806232827e-08
81,6.538356808887994e-08
82,6.538970770985825e-08
83,6.539927194486843e-08
84,6.537502454934685e-08
85,6.538310512275771e-08
86,6.539274655308207e-08
87,6.537770415382457e-08
88,6.538108020570905e-08
89,6.536215402140884e-08
90,6.535299246837102e-08
91,6.547095807721695e-08
92,6.545227466589868e-08
93,6.538767063766289e-08
94,6.535449440215712e-08
95,6.539833078373056e-08
96,6.54465492702827e-08
97,6.537746394948029e-08
98,6.538437607788015e-08
99,6.53491344088438e-08
100,6.53776070796233e-08
101,6.540664616334709e-08
102,6.539060710678904e-08
103,6.534648923930165e-08
104,6.536754691497962e-08
105,6.534806520571398e-08
106,6.533818616380974e-08
107,6.533709501705735e-08
108,6.53414579074499e-08
109,6.53574644489752e-08
110,6.53477581865655e-08
111,6.535763513348925e-08
112,6.539092297284e-08
113,6.53601863897309e-08
114,6.535935018083322e-08
115,6.534597855228271e-08
116,6.536232713385636e-08
117,6.533682665890779e-08
118,6.53326987538944e-08
119,6.532842552982718e-08
120,6.531959705579921e-08
121,6.533481632525941e-08
122,6.535648123321893e-08
123,6.536069106813099e-08
124,6.537060795944685e-08
125,6.536846164679989e-08
126,6.53516467071581e-08
127,6.535534236120065e-08
128,6.534758200922832e-08
129,6.535122965362758e-08
130,6.536183271190978e-08
131,6.53565563534431e-08
132,6.536132978682754e-08
133,6.535502523780907e-08
134,6.537176398881677e-08
135,6.536709366496695e-08
136,6.534531453624072e-08
137,6.534355560392293e-08
138,6.535984605437947e-08
139,6.534989141370312e-08
140,6.533591028524087e-08
141,6.532271466109389e-08
142,6.533220424633409e-08
143,6.533864039561606e-08
144,6.534218334275705e-08
145,6.536089345983534e-08
146,6.536450744082528e-08
147,6.534977095338685e-08
148,6.534545253814165e-08
149,6.534227568793506e-08
150,6.533732656883333e-08
151,6.534202686585085e-08
152,6.53536553988508e-08
153,6.534048979700462e-08
154,6.534687053599577e-08
155,6.5339080567027e-08
156,6.532942825980095e-08
157,6.533719695214147e-08
158,6.534748651451406e-08
159,6.536249043353211e-08
160,6.53430579447385e-08
161,6.534705136335684e-08
162,6.534136688424312e-08
163,6.533923170875987e-08
164,6.534382910638572e-08
165,6.534056824501582e-08
166,6.53389279944779e-08
167,6.534788348904244e-08
168,6.534230801139403e-08
169,6.534891010619882e-08
170,6.535886498225552e-08
171,6.53492055078133e-08
172,6.536524511933903e-08
173,6.539426608642991e-08
174,6.53566232024267e-08
175,6.535892369969511e-08
176,6.536592995053076e-08
177,6.538230491109332e-08
178,6.53501100763854e-08
179,6.534471433025897e-08
180,6.534568140060442e-08
181,6.535080254585136e-08
182,6.535272354504687e-08
183,6.540672597124809e-08
184,6.533265698613363e-08
185,6.533431394875663e-08
186,6.535071120214875e-08
187,6.535873609646583e-08
188,6.533283201559678e-08
189,6.536645949806692e-08
190,6.535558790884e-08
191,6.539151804346914e-08
192,6.535455033970245e-08
193,6.53572914939369e-08
194,6.534134123916533e-08
195,6.535110332069978e-08
196,6.534171753676549e-08
197,6.534664391998088e-08
198,6.534352232057627e-08
199,6.53725125690311e-08
200,6.533945929053115e-08
201,6.533861721010227e-08
202,6.534454329740228e-08
203,6.533775872039197e-08
204,6.534263864257135e-08
205,6.53337450449439e-08
206,6.532650353869765e-08
207,6.533393267045806e-08
208,6.532359899504084e-08
209,6.532476550787572e-08
210,6.534307684433146e-08
211,6.536116309271728e-08
212,6.534798424602072e-08
213,6.53451143597504e-08
214,6.534897761070387e-08
215,6.536293907440384e-08
216,6.535827046060532e-08
217,6.534680409822357e-08
218,6.535234153271034e-08
219,6.535379980600263e-08
220,6.535131344890096e-08
221,6.535171040319418e-08
222,6.534408616293634e-08
223,6.533634356637093e-08
224,6.534317718073728e-08
225,6.53438060402831e-08
226,6.53500088042798e-08
227,6.536389526547596e-08
228,6.534204826440655e-08
229,6.533092557380652e-08
230,6.533311407988644e-08
231,6.533808307642286e-08
232,6.534551087006022e-08
233,6.53470498137333e-08
234,6.53424515246661e-08
235,6.533513615247138e-08
236,6.534874724886557e-08
237,6.534187850577598e-08
238,6.534222505368152e-08
239,6.533449893504977e-08
240,6.533343907546382e-08
241,6.534479557389188e-08
242,6.534417958857709e-08
243,6.534404596880871e-08
244,6.534501246728174e-08
245,6.534377827481724e-08
246,6.535426511589091e-08
247,6.535315720706442e-08
248,6.535552026590155e-08
249,6.535291238976924e-08
250,6.535321430297644e-08
251,6.534842742777187e-08
252,6.53559670251292e-08
253,6.534893975006983e-08
254,6.536670811658714e-08
255,6.535273405848141e-08
256,6.535195316205645e-08
257,6.533418615049007e-08
258,6.533459857996701e-08
259,6.533685056271715e-08
260,6.536196823798908e-08
261,6.5335987227389e-08
262,6.53314779223155e-08
263,6.53390226841598e-08
264,6.533722382746834e-08
265,6.535255438739563e-08
266,6.534296948500134e-08
267,6.534818663038541e-08
268,6.534779864720953e-08
269,6.533931003933415e-08
270,6.535684665366139e-08
271,6.536918107616503e-08
272,6.534582863673036e-08
273,6.535309439105014e-08
274,6.535586837661666e-08
275,6.536189477750953e-08
276,6.539418286342433e-08
277,6.539524994286971e-08
278,6.534932877311403e-08
279,6.534806100552e-08
280,6.535756636969201e-08
281,6.536821282208128e-08
282,6.537266359337814e-08
283,6.534594169023276e-08
284,6.535025744602286e-08
285,6.533649376054156e-08
286,6.535845355442617e-08
287,6.538505248074856e-08
288,6.535076051840615e-08
289,6.534364620290958e-08
290,6.535776504544102e-08
291,6.537364173129064e-08
292,6.53380471855007e-08
293,6.534379737295987e-08
294,6.534035540686431e-08
295,6.534807457792883e-08
296,6.536205246924375e-08
297,6.536381648849863e-08
298,6.536006467416095e-08
299,6.536044936221416e-08
300,6.536258531303089e-08
301,6.537861105570913e-08
302,6.535673757816917e-08
303,6.535604853885553e-08
304,6.535381813882252e-08
305,6.53394316753833e-08
306,6.534860369939516e-08
307,6.534372622134343e-08
308,6.53442105450243e-08
309,6.534514885021638e-08
310,6.533514079142302e-08
311,6.533231509945027e-08
312,6.533202478068196e-08
313,6.533424410716733e-08
314,6.533611998576444e-08
315,6.534665842726687e-08
316,6.533480735642115e-08
317,6.533710662059628e-08
318,6.535312311673232e-08
319,6.534027197927314e-08
320,6.533891165944787e-08
321,6.533954742523566e-08
322,6.533539636620964e-08
323,6.532710418167133e-08
324,6.532845599641185e-08
325,6.533584923249395e-08
326,6.532724790470147e-08
327,6.534691081302622e-08
328,6.532910839651012e-08
329,6.533160396197546e-08
330,6.533402409643932e-08
331,6.533696954656065e-08
332,6.536853615139756e-08
333,6.534019731527796e-08
334,6.533309726533209e-08
335,6.534082649415137e-08
336,6.534365614510508e-08
337,6.534196222471691e-08
338,6.536747674255988e-08
339,6.533239804847881e-08
340,6.534145409700115e-08
341,6.534049712517911e-08
