epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,11.03463101783235,6.249553090374308,0.5533589602782354,1.8649296018028654,0.47027587890625,
2,820,8.43661255525799,5.328907530364068,0.5526267618524621,2.751226521356873,0.47027587890625,
3,1230,6.864479866346824,3.3662762070190944,0.5766062602965404,3.4640803528821804,0.47027587890625,
4,1640,5.825033600274991,2.9245396823034646,0.5853926414058209,4.085969884501583,0.47027587890625,
5,2050,5.079660510712117,1.9835653121755517,0.5978400146439685,4.6492414084690825,0.47027587890625,
6,2460,4.45475855204197,1.962034135735037,0.6119348343401062,5.170618934878717,0.47027587890625,
7,2870,3.891498921738506,1.5845296302165564,0.6214534138751602,5.660097758667823,0.47027587890625,
8,3280,3.447829055163604,1.6568110754218006,0.6401244737323815,6.124222070526848,0.47027587890625,
9,3690,3.158116808545946,1.8492910911284937,0.6533040453963024,6.56755589917412,0.47027587890625,
10,4100,2.963951583695261,2.0673006167019894,0.6401244737323815,6.993433800032892,0.47027587890625,
