epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,10.398935499213481,5.466390549340092,0.5586673988650924,1.8649296018028654,0.47027587890625,2.02544512661057e-09
2,820,7.514924155687677,3.9707032814144587,0.5597656965037525,2.751226521356873,0.47027587890625,1.7933123435800133e-09
3,1230,6.231158179276923,2.5617499256360974,0.5789859051803039,3.4640803528821804,0.47027587890625,1.7935540199976915e-09
4,1640,5.355508042729577,2.1352250952653433,0.5777045579352005,4.085969884501583,0.47027587890625,1.793667876349826e-09
5,2050,4.691314001738134,1.6685559103258927,0.5820977484898407,4.6492414084690825,0.47027587890625,1.7942686778228407e-09
6,2460,4.215670238251281,2.26562844111809,0.576423210690097,5.170618934878717,0.47027587890625,1.7941621149069554e-09
7,2870,3.6988135935896302,1.6010899970585144,0.6293245469522241,5.660097758667823,0.47027587890625,1.7951278594707812e-09
8,3280,3.271704673563205,1.699103042404228,0.6304228445908842,6.124222070526848,0.47027587890625,1.7948593092607768e-09
9,3690,2.9816175296591174,1.5639682736956286,0.6457990115321252,6.56755589917412,0.47027587890625,1.7955926058655665e-09
10,4100,2.7423977529895267,1.8446416294489634,0.6412227713710416,6.993433800032892,0.47027587890625,1.794886769458855e-09
