epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,11.240116513928772,7.085500142828746,0.5332235035694673,0.8334567673794523,0.5682373046875,
2,820,8.672232041193817,5.2641145893664625,0.556836902800659,1.219582957628809,0.5682373046875,
3,1230,7.317985460578514,3.832182424574267,0.5597656965037525,1.5257877151784534,0.5682373046875,
4,1640,6.249072119991816,3.08119472313032,0.5656232839099395,1.7900082542029572,0.5682373046875,
5,2050,5.583418794850947,2.862353030740178,0.5648910854841662,2.027143207413671,0.5682373046875,
6,2460,4.993706821778238,1.988719417174701,0.5723961193483434,2.2449029007224732,0.5682373046875,
7,2870,4.485271413824656,1.830834070492332,0.5791689547867472,2.4478989123416537,0.5682373046875,
8,3280,4.085062144331475,1.7874455292234048,0.590151931173348,2.6391524339195156,0.5682373046875,
9,3690,3.722937203109319,2.049367768847853,0.5916163280248947,2.820771622917749,0.5682373046875,
10,4100,3.4055491084157916,1.946694530673501,0.6046128500823723,2.9942974656903782,0.5682373046875,
