epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,10.620466997359387,6.470962136171031,0.5555555555555556,1.8649296018028654,0.47027587890625,
2,820,7.990377559780569,4.160165634867518,0.5650741350906096,2.751226521356873,0.47027587890625,
3,1230,6.582999454166277,3.555084278791701,0.5566538531942157,3.4640803528821804,0.47027587890625,
4,1640,5.59076508332397,2.417998100055916,0.5842943437671609,4.085969884501583,0.47027587890625,
5,2050,4.909081453484337,2.2076061764807355,0.6018671059857221,4.6492414084690825,0.47027587890625,
6,2460,4.35679094985009,2.0762130343475427,0.5908841295991214,5.170618934878717,0.47027587890625,
7,2870,3.8074044206382753,1.6969528798761984,0.6309719934102141,5.660097758667823,0.47027587890625,
8,3280,3.349278508599692,2.1072059839434747,0.6144975288303131,6.124222070526848,0.47027587890625,
9,3690,3.083826266424682,1.9389250223047019,0.6408566721581549,6.56755589917412,0.47027587890625,
10,4100,2.826209810644972,2.5304502081831752,0.6121178839465495,6.993433800032892,0.47027587890625,
