epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,11.081772642765996,7.099492957952934,0.5575691012264323,0.8334567673794523,0.5682373046875,
2,820,8.822459244353952,5.251893989162176,0.5566538531942157,1.219582957628809,0.5682373046875,
3,1230,7.477225203328887,4.187180115673408,0.5720300201354567,1.5257877151784534,0.5682373046875,
4,1640,6.398598306166341,2.986522419688773,0.5804503020318507,1.7900082542029572,0.5682373046875,
5,2050,5.652623094643823,2.857692276495358,0.5778876075416438,2.027143207413671,0.5682373046875,
6,2460,5.202970795251411,2.1403523528399147,0.5852095917993776,2.2449029007224732,0.5682373046875,
7,2870,4.697806714546059,2.19155669836428,0.5905180303862346,2.4478989123416537,0.5682373046875,
8,3280,4.193482197713817,2.047515383138557,0.594911220940875,2.6391524339195156,0.5682373046875,
9,3690,3.8872935477442994,1.8406711657274648,0.6188907193849533,2.820771622917749,0.5682373046875,
10,4100,3.525653452491229,1.7179719693447324,0.6412227713710416,2.9942974656903782,0.5682373046875,
