epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,10.680419395204021,6.171266681825462,0.5407285374336445,1.8649296018028654,0.47027587890625,
2,820,7.9134255531404785,4.225903120884065,0.5738605161998902,2.751226521356873,0.47027587890625,
3,1230,6.432459462290045,3.4396789818920324,0.565806333516383,3.4640803528821804,0.47027587890625,
4,1640,5.362433474776742,2.4693925617685166,0.5813655500640673,4.085969884501583,0.47027587890625,
5,2050,4.666706449172316,2.0865306264202435,0.5874061870766978,4.6492414084690825,0.47027587890625,
6,2460,4.0887440834786375,2.1436500193194203,0.5980230642504119,5.170618934878717,0.47027587890625,
7,2870,3.685988725792813,1.6766561710330432,0.6168771737140765,5.660097758667823,0.47027587890625,
8,3280,3.3452879081526894,1.4914330516174863,0.6108365367014461,6.124222070526848,0.47027587890625,
9,3690,3.0661101299177447,1.5948352286520184,0.6273110012813472,6.56755589917412,0.47027587890625,
10,4100,2.8348899042896454,1.7338919307032108,0.6254805052169138,6.993433800032892,0.47027587890625,
