epoch,global_step,train_loss,val_loss,val_accuracy,epsilon,noise_multiplier,predictor_x_gap_mse
1,410,10.626567982636677,6.169285569809829,0.5593995972908659,1.8649296018028654,0.47027587890625,2.0253994629014234e-09
2,820,7.79317139860536,3.9146476353172766,0.5687351272194765,2.751226521356873,0.47027587890625,1.793250755589453e-09
3,1230,6.28071718643271,2.8534811076807185,0.5813655500640673,3.4640803528821804,0.47027587890625,1.7935026772287487e-09
4,1640,5.426498802281352,2.508990588564369,0.5670876807614864,4.085969884501583,0.47027587890625,1.793617670036037e-09
5,2050,4.784487027449736,2.3071352577942665,0.5672707303679297,4.6492414084690825,0.47027587890625,1.7943232038554486e-09
6,2460,4.259900743563029,1.7341895650730625,0.6024162548050521,5.170618934878717,0.47027587890625,1.7939083485872462e-09
7,2870,3.739431077365536,1.518203983938827,0.6300567453779974,5.660097758667823,0.47027587890625,1.7948502189697373e-09
8,3280,3.2952508431540073,1.5837048623624268,0.6498261028738789,6.124222070526848,0.47027587890625,1.7952448340779544e-09
9,3690,3.014383456315351,1.7176346392197726,0.6540362438220758,6.56755589917412,0.47027587890625,1.7956465232678286e-09
10,4100,2.791633711283264,2.03365077200814,0.6392092257001647,6.993433800032892,0.47027587890625,1.7953433983013879e-09
